2017/09/27 15:07:59.021 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 86")
2017/09/27 15:07:59.239 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 87")
2017/09/27 15:07:59.422 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 88")
2017/09/27 15:07:59.623 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 89")
2017/09/27 15:07:59.822 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 90")
2017/09/27 15:08:00.022 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 91")
2017/09/27 15:08:00.224 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 92")
2017/09/27 15:08:00.423 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 93")
2017/09/27 15:08:00.623 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 94")
2017/09/27 15:08:00.823 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 95")
2017/09/27 15:08:01.023 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 96")
2017/09/27 15:08:01.222 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 97")
2017/09/27 15:08:01.421 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 98")
2017/09/27 15:08:01.620 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 99")
2017/09/27 15:08:01.820 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 100")
2017/09/27 15:08:02.024 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 101")
2017/09/27 15:08:02.224 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 102")
2017/09/27 15:08:02.425 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 103")
2017/09/27 15:08:02.623 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 104")
2017/09/27 15:08:02.823 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 105")
2017/09/27 15:08:03.014 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 106")
2017/09/27 15:08:03.216 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 107")
2017/09/27 15:08:03.415 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 108")
2017/09/27 15:08:03.617 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 109")
2017/09/27 15:08:03.817 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 110")
2017/09/27 15:08:04.017 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 111")
2017/09/27 15:08:04.222 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 112")
2017/09/27 15:08:04.422 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 113")
2017/09/27 15:08:04.622 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 114")
2017/09/27 15:08:04.822 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 115")
2017/09/27 15:08:05.018 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 116")
2017/09/27 15:08:05.219 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 117")
2017/09/27 15:08:05.419 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 118")
2017/09/27 15:08:05.619 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 119")
2017/09/27 15:08:05.818 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 120")
2017/09/27 15:08:06.018 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 121")
2017/09/27 15:08:06.219 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 122")
2017/09/27 15:08:06.418 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 123")
2017/09/27 15:08:06.620 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 124")
2017/09/27 15:08:06.820 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 125")
2017/09/27 15:08:07.021 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 126")
2017/09/27 15:08:07.220 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 127")
2017/09/27 15:08:07.419 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 128")
2017/09/27 15:08:07.619 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 129")
2017/09/27 15:08:07.836 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 130")
2017/09/27 15:08:08.019 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 131")
2017/09/27 15:08:08.218 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 132")
2017/09/27 15:08:08.419 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 133")
2017/09/27 15:08:08.618 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 134")
2017/09/27 15:08:08.820 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 135")
2017/09/27 15:08:09.020 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 136")
2017/09/27 15:08:09.224 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 137")
2017/09/27 15:08:09.425 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 138")
2017/09/27 15:08:09.625 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 139")
2017/09/27 15:08:09.825 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 140")
2017/09/27 15:08:10.025 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 141")
2017/09/27 15:08:10.225 (rampwithwaits.rb:2): cmd("BLINK DELAY with DELAY 142")
